10000, 1
Egon Schiele, Eith wiith Striped Dress, Sitting (1915).jpg
547, 249910.53125, 612106.4375
548, 228181.359375, 707008.8125
549, 222446.90625, 630758.6875
550, 208705.453125, 548336.25
551, 228434.5625, 633242.875
552, 226444.15625, 588417.3125
553, 229771.84375, 630573.0
554, 235003.75, 533245.5
555, 218025.125, 585718.125
556, 224565.578125, 571162.8125
557, 245628.6875, 550985.125
558, 231036.453125, 579328.25
559, 241149.640625, 560287.8125
560, 217226.9375, 603213.625
561, 253130.1875, 645152.875
562, 219109.859375, 537100.5
563, 214775.703125, 577943.6875
564, 226229.53125, 864237.8125
565, 266822.75, 570128.8125
566, 222670.71875, 554296.0
567, 217070.03125, 674317.1875
568, 215244.59375, 884831.5
569, 232029.453125, 627152.25
570, 220534.828125, 579254.25
571, 228702.078125, 547528.9375
572, 215585.125, 656958.9375
573, 246105.3125, 535172.875
574, 253433.953125, 593305.4375
575, 233171.78125, 551522.9375
576, 232344.1875, 597632.5
577, 226618.375, 768763.75
578, 265907.8125, 671391.1875
579, 252319.234375, 662323.875
580, 211792.15625, 670674.3125
581, 206314.796875, 629887.25
582, 227434.453125, 555762.125
583, 216907.046875, 600993.4375
584, 241256.65625, 571315.125
585, 200197.828125, 579216.125
586, 236860.890625, 639299.6875
587, 194686.640625, 621958.125
588, 233143.734375, 576095.875
589, 251835.625, 572975.8125
590, 225411.21875, 681577.8125
591, 223654.203125, 573996.5625
592, 202467.203125, 741717.5
593, 222776.5, 556941.4375
594, 267452.625, 608402.375
595, 219712.4375, 616371.4375
596, 191192.921875, 591902.25
597, 222478.640625, 635316.8125
598, 213557.65625, 564096.0
599, 233127.609375, 588985.9375
600, 214408.3125, 673698.125
601, 219954.25, 713320.4375
602, 236472.296875, 500023.46875
603, 199064.0, 628168.75
604, 221548.140625, 635066.25
605, 215655.0, 562799.6875
606, 220644.15625, 547425.0625
607, 197929.640625, 606207.375
608, 213103.234375, 558198.4375
609, 196556.453125, 714965.8125
610, 204577.125, 597788.1875
611, 211493.859375, 657601.0
612, 206670.59375, 591410.0625
613, 205084.671875, 643216.6875
614, 235228.46875, 588825.875
615, 200434.046875, 543019.0
616, 205608.671875, 657265.6875
617, 198709.640625, 621796.1875
618, 212321.578125, 582453.75
619, 222195.234375, 658170.0625
620, 198821.328125, 722540.625
621, 232287.09375, 544014.9375
622, 213576.609375, 608945.0
623, 265435.8125, 489041.34375
624, 248048.0, 573685.1875
625, 222976.84375, 579100.5
626, 207382.46875, 531026.5625
627, 189020.125, 538814.375
628, 222304.734375, 507602.5625
629, 207017.78125, 531165.4375
630, 201153.765625, 663873.0
631, 217647.40625, 567772.5625
632, 208587.71875, 492148.03125
633, 236832.4375, 686743.0625
634, 216520.78125, 571799.25
635, 205469.78125, 569992.5625
636, 194863.1875, 592704.5
637, 188832.125, 556402.75
638, 205407.578125, 635258.5625
639, 202129.03125, 540100.8125
640, 241933.609375, 644652.75
641, 197989.6875, 572769.8125
642, 222365.15625, 613035.75
643, 221253.453125, 559526.625
644, 211076.859375, 780827.5
645, 196260.828125, 599214.25
646, 208714.203125, 689766.75
647, 198577.46875, 635910.0625
648, 214328.046875, 497782.03125
649, 255829.984375, 490796.84375
650, 231757.6875, 527650.75
651, 220164.96875, 576132.875
652, 179393.8125, 631737.0625
653, 190989.703125, 686306.3125
654, 209947.96875, 561058.125
655, 193657.65625, 708545.3125
656, 195379.328125, 515723.75
657, 206919.515625, 709331.25
658, 194459.109375, 578467.75
659, 197295.671875, 591285.875
660, 209656.5625, 503810.6875
661, 232838.390625, 585220.9375
662, 185357.765625, 458748.25
663, 196042.328125, 584586.3125
664, 220156.0, 578301.5
665, 223954.703125, 466846.0
666, 189280.546875, 590597.4375
667, 198021.640625, 525137.4375
668, 182843.703125, 539441.125
669, 188688.453125, 629149.5
670, 216212.078125, 537674.625
671, 205430.4375, 510158.6875
672, 192579.3125, 581093.3125
673, 197058.671875, 497868.71875
674, 196989.34375, 569586.1875
675, 218842.109375, 480473.9375
676, 201626.3125, 620304.5
677, 201291.71875, 612527.25
678, 191153.984375, 507256.40625
679, 222593.1875, 560840.625
680, 186566.78125, 634311.5625
681, 214413.34375, 624238.9375
682, 212621.640625, 576208.0
683, 204919.234375, 556210.4375
684, 171196.6875, 520867.71875
685, 190672.046875, 646430.625
686, 224492.90625, 520156.4375
687, 207404.125, 565017.5
688, 199480.015625, 582439.5
689, 209595.484375, 563539.875
690, 189092.390625, 623390.25
691, 200225.65625, 700919.5625
692, 274456.875, 604843.8125
693, 188163.34375, 616140.0625
694, 196038.15625, 624463.5
695, 199267.234375, 585099.0625
696, 204963.921875, 634402.625
697, 223771.109375, 546611.8125
698, 197354.515625, 560549.6875
699, 198236.703125, 581795.8125
700, 196722.890625, 591865.3125
701, 210272.15625, 556554.4375
702, 193302.3125, 570868.0625
703, 212645.359375, 515790.28125
704, 207634.015625, 583282.4375
705, 205330.140625, 538434.125
706, 184797.59375, 623516.0
707, 211295.90625, 602250.1875
708, 176067.53125, 544415.9375
709, 188402.09375, 656193.0
710, 182532.09375, 453386.34375
711, 203186.671875, 539093.75
712, 174823.046875, 588063.9375
713, 192443.109375, 554918.75
714, 202270.3125, 632560.6875
715, 196970.09375, 579174.6875
716, 195145.890625, 543970.75
717, 209397.671875, 602972.625
718, 174156.5625, 593768.5
719, 215582.5625, 529750.6875
720, 183692.578125, 561565.875
721, 208205.953125, 531012.3125
722, 206282.890625, 666124.4375
723, 185134.171875, 532764.8125
724, 201700.15625, 514880.1875
725, 180452.109375, 530300.3125
726, 191030.328125, 560483.8125
727, 227695.34375, 520229.375
728, 178536.03125, 490294.15625
729, 183451.1875, 538461.8125
730, 201480.328125, 498611.53125
731, 201291.421875, 477924.875
732, 198620.84375, 714891.875
733, 185341.03125, 502736.1875
734, 232001.328125, 544665.5
735, 194418.203125, 539364.0
736, 206517.46875, 531222.75
737, 212910.375, 614964.5625
738, 210422.546875, 542443.25
739, 180448.265625, 659798.5
740, 178065.5625, 553784.875
741, 190306.1875, 582854.75
742, 179977.140625, 688572.6875
743, 193458.890625, 627217.5
744, 180943.578125, 724896.4375
745, 161493.265625, 589820.0625
746, 203138.15625, 567033.75
747, 201888.03125, 558969.0625
748, 181573.515625, 571346.875
749, 179797.25, 564595.0625
750, 196624.859375, 577322.5
751, 186589.015625, 528391.8125
752, 174390.78125, 570760.125
753, 219138.46875, 547934.5625
754, 194251.109375, 496084.21875
755, 187151.671875, 515725.21875
756, 166212.046875, 525805.6875
757, 185332.6875, 578539.75
758, 179034.578125, 618960.5
759, 190514.859375, 655772.1875
760, 192628.59375, 582203.875
761, 183984.34375, 485591.40625
762, 219352.53125, 506141.5625
763, 176975.46875, 499326.90625
764, 211041.25, 556713.5
765, 229665.75, 588660.125
766, 206165.71875, 484778.125
767, 213726.78125, 575202.8125
768, 204704.796875, 651579.9375
769, 187656.21875, 513880.25
770, 176199.03125, 531659.0
771, 181915.25, 549117.1875
772, 227929.296875, 556773.375
773, 180426.765625, 671343.3125
774, 195746.234375, 634622.5
775, 172186.453125, 648255.375
776, 179818.421875, 499298.375
777, 165790.25, 605575.9375
778, 192340.25, 587082.9375
779, 175907.421875, 585965.0
780, 204857.78125, 554801.0
781, 176167.015625, 577666.625
782, 173419.6875, 517272.8125
783, 188028.796875, 546884.375
784, 224311.296875, 542954.375
785, 188041.375, 647580.625
786, 159485.046875, 579768.1875
787, 173152.328125, 462294.53125
788, 193084.703125, 588674.375
789, 186299.234375, 480334.375
790, 191561.671875, 556502.8125
791, 166450.484375, 714348.6875
792, 172948.234375, 512829.25
793, 182037.109375, 750591.6875
794, 173342.78125, 435266.03125
795, 166559.65625, 548124.1875
796, 193512.09375, 554064.25
797, 162933.515625, 558031.375
